"title","directedBy","starring","avgRating","imdbId","item_id","genre","star","writer","company","country","year","group"
"Zombieland","Ruben Fleischer","Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin, Amber Heard, Bill Murray",3.75148,1156398,71535,"Adventure","Jesse Eisenberg","Rhett Reese","Columbia Pictures","United States",2009,1
"King Kong","Peter Jackson","Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Andy Serkis, Evan Parke, Jamie Bell, Kyle Chandler",3.18482,360717,41569,"Action","Naomi Watts","Fran Walsh","Universal Pictures","United States",2005,4
"Holiday, The","Nancy Meyers","Cameron Diaz, Kate Winslet, Jude Law, Jack Black, Eli Wallach, Edward Burns, Rufus Sewell, Emma Pritchard, Sarah Parish, Shannyn Sossamon, Bill Macy, Shelley Berman, Kathryn Hahn, John Krasinski, Alex O'Loughlin, Odette Yustman, Dustin Hoffman, Lindsay Lohan",3.55501,457939,49286,NA,NA,NA,NA,NA,NA,3
"Sandlot, The","David M. Evans","Tom Guiry, Chauncey Leopardi, Patrick Renna, Mike Vitar, Denis Leary, Karen Allen, James Earl Jones",3.67091,108037,5103,NA,NA,NA,NA,NA,NA,29
"Big Short, The","Adam McKay","Christian Bale,Brad Pitt,Ryan Gosling,Steve Carell,Melissa Leo",4.05101,1596363,148626,NA,NA,NA,NA,NA,NA,8
"25th Hour","Spike Lee","Edward Norton, Philip Seymour Hoffman, Barry Pepper, Rosario Dawson, Brian Cox",3.81252,307901,5954,"Drama","Edward Norton","David Benioff","25th Hour Productions","United States",2002,2
"True Grit","Joel Coen, Ethan Coen","Jeff Bridges, Matt Damon, Josh Brolin, Hailee Steinfeld, Barry Pepper",3.78972,1403865,82459,"Drama","Jeff Bridges","Joel Coen","Paramount Pictures","United States",2010,2
"Rogue One: A Star Wars Story","Gareth Edwards","Felicity Jones,Diego Luna,Ben Mendelsohn,Donnie Yen,Mads Mikkelsen",3.77573,3748528,166528,"Action","Felicity Jones","Chris Weitz","Lucasfilm","United States",2016,4
"Bridesmaids","Paul Feig","Kristen Wiig, Maya Rudolph, Ellie Kemper, Rose Byrne, Rebel Wilson, Matt Lucas, Melissa McCarthy, Wendi McLendon-Covey",3.50116,1478338,86833,"Comedy","Kristen Wiig","Kristen Wiig","Universal Pictures","United States",2011,3
"Madness of King George, The","Nicholas Hytner","Nigel Hawthorne, Ian Holm, Helen Mirren, Rupert Graves, Amanda Donohoe, Rupert Everett",3.73538,110428,272,NA,NA,NA,NA,NA,NA,30
"Cast Away","Robert Zemeckis","Tom Hanks, Chris Noth, Nick Searcy, Helen Hunt",3.67476,162222,4022,"Adventure","Tom Hanks","William Broyles Jr.","Twentieth Century Fox","United States",2000,1
"Six Degrees of Separation","Fred Schepisi","Ian McKellen, Will Smith, Donald Sutherland, Stockard Channing",3.69014,108149,538,"Comedy","Will Smith","John Guare","Metro-Goldwyn-Mayer (MGM)","United States",1993,3
"Naked Gun 2 1/2: The Smell of Fear, The","David Zucker","George Kennedy, Leslie Nielsen, O.J. Simpson, Priscilla Presley",3.23056,102510,3869,NA,NA,NA,NA,NA,NA,31
"Primal Fear","Gregory Hoblit","Richard Gere, Edward Norton, John Mahoney, Laura Linney",3.75891,117381,628,"Crime","Richard Gere","William Diehl","Paramount Pictures","United States",1996,1
"Armageddon","Michael Bay","Ben Affleck, Billy Bob Thornton, Bruce Willis, Liv Tyler, Steve Buscemi, Will Patton, William Fichtner, Owen Wilson, Michael Clarke Duncan, Peter Stormare",3.00808,120591,1917,"Action","Bruce Willis","Jonathan Hensleigh","Touchstone Pictures","United States",1998,4
"Saw II","Darren Lynn Bousman","Donnie Wahlberg, Shawnee Smith, Tobin Bell, Erik Knudsen",2.92876,432348,39446,"Horror","Donnie Wahlberg","Leigh Whannell","Twisted Pictures","Canada",2005,1
"Secret Life of Walter Mitty, The","Ben Stiller","Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn, Adam Scott, Adrian Martinez, Joey Slotnick, Shirley MacLaine, Sean Penn, Patton Oswalt, Richard DeDomenico",3.69898,359950,106918,NA,NA,NA,NA,NA,NA,3
"Like Water for Chocolate","Alfonso Arau","Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez, Ada Carrasco",3.91386,103994,265,NA,NA,NA,NA,NA,NA,32
"Muriel's Wedding","P.J. Hogan","Bill Hunter, Toni Collette, Rachel Griffiths, Sophie Lee",3.48255,110598,342,"Comedy","Toni Collette","P.J. Hogan","CiBy 2000","Australia",1994,3
"Bullets Over Broadway","Woody Allen","Victor Colicchio, John Cusack, Tony Sirico, Jack Warden, Dianne Wiest, Chazz Palminteri, Jennifer Tilly",3.67989,109348,348,"Comedy","John Cusack","Woody Allen","Miramax","United States",1994,3
"Bad Boys II","Michael Bay","Martin Lawrence, Will Smith, Gabrielle Union, Joe Pantoliano",3.15058,172156,6548,"Action","Will Smith","George Gallo","Columbia Pictures","United States",2003,4
"O Brother, Where Art Thou?","Joel Coen","George Clooney, John Goodman, Tim Blake Nelson, John Turturro",3.87454,190590,4027,"Adventure","George Clooney","Homer","Touchstone Pictures","United Kingdom",2000,1
"Dark City","Alex Proyas","William Hurt, Rufus Sewell, Kiefer Sutherland, Jennifer Connelly",3.8001,118929,1748,"Fantasy","Rufus Sewell","Alex Proyas","Mystery Clock Cinema","Australia",1998,1
"Ratatouille","Brad Bird","Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter O'Toole, Brad Garrett, Janeane Garofalo, Will Arnett, James Remar, John Ratzenberger,",3.82534,382932,50872,"Animation","Brad Garrett","Brad Bird","Walt Disney Pictures","United States",2007,1
"Tucker & Dale vs Evil","Eli Craig","Tyler Labine, Alan Tudyk, Katrina Bowden",3.82934,1465522,83134,NA,NA,NA,NA,NA,NA,33
"Shine","Scott Hicks","Geoffrey Rush, Armin Mueller-Stahl, Justin Braine, Chris Haywood, Sonia Todd",3.8477,117631,1357,"Biography","Geoffrey Rush","Jan Sardi","Australian Film Finance Corporation (AFFC)","Australia",1996,1
"Sleepless in Seattle","Nora Ephron","Tom Hanks, Meg Ryan, Bill Pullman, Ross Malinger, Rosie O'Donnell, Gaby Hoffmann, Victor Garber, Rita Wilson",3.51476,108160,539,"Comedy","Tom Hanks","Jeff Arch","TriStar Pictures","United States",1993,3
"Chasing Amy","Kevin Smith","Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes",3.59681,118842,1639,"Comedy","Ben Affleck","Kevin Smith","Too Askew Prod. Inc.","United States",1997,3
"Dazed and Confused","Richard Linklater","Jason London, Rory Cochrane, Wiley Wiggins, Sasha Jenson, Michelle Burke, Adam Goldberg, Anthony Rapp, Matthew McConaughey, Marissa Ribisi, Shawn Andrews, Cole Hauser, Milla Jovovich, Joey Lauren Adams, Christin Hinojosa, Ben Affleck, Parker Posey, Renée Zellweger",3.6925,106677,441,"Comedy","Jason London","Richard Linklater","Gramercy Pictures (I)","United States",1993,3
"American Pie 2","James B. Rogers","Jason Biggs, Chris Klein, Shannon Elizabeth, Alyson Hannigan, Seann William Scott, Mena Suvari, Eddie Kaye Thomas, Thomas Ian Nicholas, Natasha Lyonne, Tara Reid",2.88724,252866,4718,"Comedy","Jason Biggs","Adam Herz","LivePlanet","United States",2001,3
"Pan's Labyrinth","Guillermo del Toro","Ivana Baquero, Doug Jones, Sergi López, Ariadna Gil, Maribel Verdú",3.97828,457430,48394,"Drama","Ivana Baquero","Guillermo del Toro","Estudios Picasso","Spain",2006,2
"Notting Hill","Roger Michell","Hugh Grant, Rhys Ifans, Richard McCabe, Julia Roberts",3.46884,125439,2671,"Comedy","Hugh Grant","Richard Curtis","Polygram Filmed Entertainment","United Kingdom",1999,3
"A.I. Artificial Intelligence","Steven Spielberg","Haley Joel Osment, Frances O'Connor, Sam Robards, Jake Thomas, Jude Law, William Hurt, Ashley Scott, Brendan Gleeson",3.27976,212720,4370,"Drama","Haley Joel Osment","Brian Aldiss","Warner Bros.","United States",2001,2
"21 Grams","Alejandro González Iñárritu","Sean Penn, Naomi Watts, Benicio Del Toro, Charlotte Gainsbourg",3.68018,315733,6953,"Crime","Sean Penn","Guillermo Arriaga","This Is That Productions","United States",2003,1
"Wedding Singer, The","Frank Coraci","Adam Sandler, Drew Barrymore, Christine Taylor, Allen Covert, Matthew Glave, Ellen Albertini Dow, Angela Featherstone, Alexis Arquette, Christina Pickles, Frank Sivero, Billy Idol, Kevin Nealon, Robert Smigel, Peter Dante, Steven Brill, Tim Herlihy, Shanna Moakler, Steve Buscemi, Jon Lovitz, Brian Posehn",3.38545,120888,1777,NA,NA,NA,NA,NA,NA,34
"Live Free or Die Hard","Len Wiseman","Bruce Willis, Justin Long, Timothy Olyphant, Cliff Curtis, Mary Elizabeth Winstead, Maggie Q, Kevin Smith, Jonathan Sadowski",3.44658,337978,53972,"Action","Bruce Willis","John Carlin","Twentieth Century Fox","United States",2007,4
"Harry Potter and the Goblet of Fire","Mike Newell","Daniel Radcliffe, Emma Watson, Rupert Grint, Robert Pattinson, Stanislav Ianevski, Katie Leung, Ralph Fiennes, Gary Oldman, Michael Gambon, Maggie Smith, Jason Isaacs, Timothy Spall, David Tennant, Robbie Coltrane, Brendan Gleeson, Miranda Richardson",3.76997,330373,40815,"Adventure","Daniel Radcliffe","Steve Kloves","Warner Bros.","United Kingdom",2005,1
"Kalifornia","Dominic Sena","David Duchovny, Brad Pitt, Michelle Forbes, Juliette Lewis",3.34053,107302,481,"Crime","Brad Pitt","Stephen Levy","PolyGram Filmed Entertainment","United States",1993,1
"Star Trek: Nemesis","Stuart Baird","LeVar Burton, Jonathan Frakes, Brent Spiner, Patrick Stewart",3.15138,253754,5944,"Action","Patrick Stewart","Gene Roddenberry","Paramount Pictures","United States",2002,4
"Wanted","Timur Bekmambetov","Angelina Jolie, James McAvoy, Morgan Freeman, Common, Terence Stamp, Thomas Kretschmann",3.23041,493464,60072,"Action","Angelina Jolie","Michael Brandt","Universal Pictures","United States",2008,4
"Snowpiercer","Joon-ho Bong","Chris Evans, Tilda Swinton, Jamie Bell, John Hurt, Alison Pill, Ed Harris, Octavia Spencer, Ewen Bremner, Kang-ho Song, Steve Park",3.53586,1706620,107406,"Action","Chris Evans","Jacques Lob","SnowPiercer","South Korea",2013,4
"Ender's Game","Gavin Hood","Harrison Ford, Viola Davis, Ben Kingsley, Abigail Breslin, Asa Butterfield, Moises Arias, Hailee Steinfeld",3.37565,1731141,106002,"Action","Harrison Ford","Gavin Hood","Summit Entertainment","United States",2013,4
"Toy Story","John Lasseter","Tim Allen, Tom Hanks, Don Rickles, Jim Varney, John Ratzenberger, Wallace Shawn, Laurie Metcalf, John Morris, R. Lee Ermey, Annie Potts",3.89146,114709,1,"Animation","Tom Hanks","John Lasseter","Walt Disney Pictures","United States",1995,1
"Shrek","Andrew Adamson","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Jim Cummings, Chris Miller",3.74963,126029,4306,"Animation","Mike Myers","William Steig","DreamWorks Animation","United States",2001,1
"Mr. Deeds","Steven Brill","Adam Sandler, Winona Ryder, John Turturro, Allen Covert, Peter Gallagher, Jared Harris, Erick Avari, Peter Dante, Conchata Ferrell, Harve Presnell, Steve Buscemi, Blake Clark, John McEnroe, Brandon Molale, George Wallace, Tim Herlihy, Al Sharpton, Steven Brill, Rob Schneider",2.82543,280590,5449,"Comedy","Adam Sandler","Clarence Budington Kelland","Columbia Pictures","United States",2002,3
"Dr. Horrible's Sing-Along Blog","Joss Whedon","Neil Patrick Harris, Felicia Day, Nathan Fillion",3.9468,1227926,66934,NA,NA,NA,NA,NA,NA,35
"Raise the Red Lantern","Yimou Zhang","Li Gong, Caifei He, Jingwu Ma, Cuifeng Cao, Lin Kong",4.11489,101640,1280,"Drama","Gong Li","Tong Su","ERA International","China",1991,2
"Men in Black","Barry Sonnenfeld","Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio, Rip Torn, Tony Shalhoub, Siobhan Fallon, Jon Gries, Sergio Calderón, Carel Struycken, Fredric Lehne, Keith Campbell, Sean Whalen, David Cross, Verne Troyer, Steven Spielberg, Sylvester Stallone",3.58862,119654,1580,"Action","Tommy Lee Jones","Lowell Cunningham","Columbia Pictures","United States",1997,4
"Jackal, The","Michael Caton-Jones","Richard Gere, Sidney Poitier, Bruce Willis, Diane Venora, Jack Black, J.K. Simmons, Mathilda May, Maggie Castle",3.21211,119395,1687,NA,NA,NA,NA,NA,NA,36
"Cinderella Man","Ron Howard","Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko, Paddy Considine, Bruce McGill, Connor Price, Ariel Waller, Patrick Louis, Rosemarie DeWitt, Ron Canada, Rance Howard, Fulvio Cecere, Clint Howard, Nick Alachiotis, Boyd Banks, ",3.84399,352248,33660,"Biography","Russell Crowe","Cliff Hollingsworth","Universal Pictures","United States",2005,1
"Fracture","Gregory Hoblit","Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike, Embeth Davidtz",3.72658,488120,52604,"Crime","Anthony Hopkins","Daniel Pyne","New Line Cinema","United States",2007,1
"Ice Age 2: The Meltdown","Carlos Saldanha","Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah, Will Arnett, Jay Leno, Joseph Bologna, Stephen Root, Mindy Sterling, Alan Tudyk, Laraine Newman",3.24984,438097,44022,NA,NA,NA,NA,NA,NA,37
"Star Wars: Episode VII - The Force Awakens","J.J. Abrams","Mark Hamill,Carrie Fisher,Harrison Ford,Anthony Daniels,John Boyega",3.69674,2488496,122886,"Action","Daisy Ridley","Lawrence Kasdan","Lucasfilm","United States",2015,4
"Galaxy Quest","Dean Parisot","Tim Allen, Alan Rickman, Tony Shalhoub, Sigourney Weaver, Sam Rockwell",3.59611,177789,3175,"Adventure","Tim Allen","David Howard","Dreamworks Pictures","United States",1999,1
"Match Point","Woody Allen","Jonathan Rhys Meyers, Scarlett Johansson, Emily Mortimer, Matthew Goode, Brian Cox",3.71871,416320,41285,"Drama","Scarlett Johansson","Woody Allen","BBC Films","United Kingdom",2005,2
"Thelma & Louise","Ridley Scott","Harvey Keitel, Michael Madsen, Geena Davis, Susan Sarandon, Brad Pitt",3.59273,103074,3418,"Adventure","Susan Sarandon","Callie Khouri","Pathé Entertainment","United States",1991,1
"Erin Brockovich","Steven Soderbergh","Julia Roberts, Albert Finney, Aaron Eckhart, Marg Helgenberger, Conchata Ferrell",3.58282,195685,3408,"Biography","Julia Roberts","Susannah Grant","Universal Pictures","United States",2000,1
"Addams Family Values","Barry Sonnenfeld","Raul Julia, Christopher Lloyd, Joan Cusack, Anjelica Huston, Christina Ricci, Carol Kane, David Krumholtz, Dana Ivey, Peter MacNicol, Christine Baranski",3.0159,106220,410,"Comedy","Anjelica Huston","Charles Addams","Paramount Pictures","United States",1993,3
"Chicken Run","Peter Lord, Nick Park","Phil Daniels, Mel Gibson, Tony Haygarth, Lynn Ferguson, Jane Horrocks, Miranda Richardson, Imelda Staunton",3.47616,120630,3751,"Animation","Mel Gibson","Peter Lord","Aardman Animations","United States",2000,1
"Get Smart","Peter Segal","Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin, Terence Stamp, Terry Crews, David Koechner, James Caan, Bill Murray, Patrick Warburton, Masi Oka, Nate Torrence, Ken Davitian, Dalip Singh, Geoff Pierson, David A. Parker, John Farley, Larry Miller, Kevin Nealon, Cedric Yarbrough, Ryan Seacrest, Phoebe Price",3.15599,425061,60126,"Action","Steve Carell","Tom J. Astle","Warner Bros.","United States",2008,4
"Lethal Weapon 3","Richard Donner","Mel Gibson, Danny Glover, Joe Pesci, Rene Russo, Stuart Wilson, Nick Chinlund, Damon Hines, Darlene Love, Traci Wolfe, Steve Kahan",3.21858,104714,2002,"Action","Mel Gibson","Jeffrey Boam","Warner Bros.","United States",1992,4
"Italian Job, The","F. Gary Gray","Mark Wahlberg, Charlize Theron, Donald Sutherland, Jason Statham, Seth Green, Mos Def, Edward Norton",3.54623,317740,6378,NA,NA,NA,NA,NA,NA,6
"Lost World: Jurassic Park, The","Steven Spielberg","Pete Postlethwaite, Jeff Goldblum, Vince Vaughn, Arliss Howard, Julianne Moore, Peter Stormare, Richard Attenborough, Vanessa Lee Chester",3.00912,119567,1544,NA,NA,NA,NA,NA,NA,1
"City of Angels","Brad Silberling","Andre Braugher, Nicolas Cage, Dennis Franz, Meg Ryan",3.27849,120632,1835,"Drama","Nicolas Cage","Wim Wenders","Atlas Entertainment","United States",1998,2
"My Best Friend's Wedding","P.J. Hogan","Rupert Everett, Dermot Mulroney, Cameron Diaz, Julia Roberts",3.27576,119738,1569,"Comedy","Julia Roberts","Ronald Bass","TriStar Pictures","United States",1997,3
"Station Agent, The","Thomas McCarthy","Peter Dinklage, Paula Garcés, Richard Kind, Bobby Cannavale, Patricia Clarkson, Raven Goodwin, Michelle Williams, Jayce Bartok, Joe Lo Truglio, John Slattery",3.88229,340377,6867,NA,NA,NA,NA,NA,NA,38
"Virgin Suicides, The","Sofia Coppola","Josh Hartnett, James Woods, Kirsten Dunst, Kathleen Turner",3.64273,159097,3556,NA,NA,NA,NA,NA,NA,39
"Delicatessen","Jean-Pierre Jeunet, Marc Caro","Jean-Claude Dreyfus, Dominique Pinon, Marie-Laure Dougnac, Pascal Benezech, Rufus, Dominique Bettenfeld, Ticky Holgado, Anne-Marie Pisani",3.94803,101700,1175,"Comedy","Marie-Laure Dougnac","Jean-Pierre Jeunet","Constellation","France",1991,3
"Green Lantern","Martin Campbell","Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Temuera Morrison, Jon Tenney, Angela Bassett, Clancy Brown, Michael Clarke Duncan, Tim Robbins, Geoffrey Rush, Jay O. Sanders, Taika Waititi",2.42787,1133985,87430,"Action","Ryan Reynolds","Greg Berlanti","Warner Bros.","United States",2011,4
"The Hunger Games: Mockingjay - Part 1","Francis Lawrence","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Julianne Moore,Philip Seymour Hoffman,Jeffrey Wright,Stanley Tucci,Donald Sutherland,Willow Shields,Sam Claflin,Jena Malone,Mahershala Ali,Elden Henson,Robert Knepper,Natalie Dormer,Nicholas Pryor",3.42158,1951265,116823,"Action","Jennifer Lawrence","Peter Craig","Lionsgate","United States",2014,4
"Waiting for Guffman","Christopher Guest","Christopher Guest, Catherine O'Hara, Eugene Levy, Bob Balaban, David Cross, Parker Posey, Fred Willard, Michael Hitchcock, Larry Miller, Scott Williamson, Deborah Theaker",3.91733,118111,1449,"Comedy","Christopher Guest","Christopher Guest","Castle Rock Entertainment","United States",1996,3
"Malcolm X","Spike Lee","Al Freeman Jr., Albert Hall, Denzel Washington, Angela Bassett",3.79032,104797,3246,"Biography","Denzel Washington","Alex Haley","Largo International N.V.","Japan",1992,1
"Punch-Drunk Love","Paul Thomas Anderson","Adam Sandler, Emily Watson, Philip Seymour Hoffman, Luis Guzmán, Jason Andrews, Don McManus",3.56399,272338,5673,"Comedy","Adam Sandler","Paul Thomas Anderson","New Line Cinema","United States",2002,3
"Payback","Brian Helgeland","Mel Gibson, Gregg Henry, Maria Bello, Lucy Liu, David Paymer, Deborah Kara Unger, John Glover, Kris Kristofferson",3.41293,120784,2490,"Action","Mel Gibson","Donald E. Westlake","Icon Entertainment International","United States",1999,4
"American History X","Tony Kaye","Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Avery Brooks, Ethan Suplee, Stacy Keach, Fairuza Balk, Elliott Gould",4.13741,120586,2329,"Drama","Edward Norton","David McKenna","New Line Cinema","United States",1998,2
"Bridge of Spies","Steven Spielberg","Tom Hanks,Austin Stowell,Eve Hewson,Amy Ryan,Alan Alda",3.79591,3682448,143385,"Drama","Tom Hanks","Matt Charman","Dreamworks Pictures","United States",2015,2
"28 Weeks Later","Juan Carlos Fresnadillo","Robert Carlyle, Catherine McCormack, Rose Byrne, Jeremy Renner, Harold Perrineau, Idris Elba, Imogen Poots, Mackintosh Muggleton",3.44942,463854,53000,"Horror","Jeremy Renner","Rowan Joffe","Fox Atomic","United Kingdom",2007,1
"22 Jump Street","Phil Lord, Christopher Miller","Channing Tatum, Jonah Hill, Ice Cube, Peter Stormare, Wyatt Russell, Amber Stevens, Nick Offerman, Jimmy Tatro, Caroline Aaron, Craig Roberts, Richard Grieco, Dustin Nguyen, Dave Franco, Rob Riggle, Steven Williams",3.50835,2294449,112138,"Action","Channing Tatum","Michael Bacall","Columbia Pictures","United States",2014,4
"Toy Story 3","Lee Unkrich","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton, Bud Luckey, Beatrice Miller, Javier Fernandez Pena, Timothy Dalton, Lori Alan, Charlie Bright, Kristen Schaal, Jeff Garlin, Bonnie Hunt, John Cygan, Jeff Pidgeon, Whoopi Goldberg, Jack Angel, R. Lee Ermey, Jan Rabson, Richard Kind, Erik von Detten, Carlos Alazraqui, Laraine Newman, Teresa Ganzel",3.84933,435761,78499,"Animation","Tom Hanks","John Lasseter","Walt Disney Pictures","United States",2010,1
"I.Q.","Fred Schepisi","Tim Robbins, Meg Ryan, Walter Matthau, Lou Jacobi",3.20629,110099,252,"Comedy","Tim Robbins","Andy Breckman","Paramount Pictures","United States",1994,3
"Step Brothers","Adam McKay","Will Ferrell, John C. Reilly, Mary Steenburgen, Richard Jenkins, Adam Scott, Kathryn Hahn, Wayne Federman, Seth Rogen, Phil LaMarr, Rob Riggle, Ken Jeong, Horatio Sanz, Matt Walsh",3.47282,838283,60756,"Comedy","Will Ferrell","Will Ferrell","Columbia Pictures","United States",2008,3
"Gladiator","Rowdy Herrington","Cuba Gooding Jr., Jon Seda, James Marshall, Robert Loggia, Brian Dennehy, Ossie Davis, Cara Buono",3.90332,104346,8132,"Action","Russell Crowe","David Franzoni","Dreamworks Pictures","United States",2000,4
"Wallace & Gromit in The Curse of the Were-Rabbit","Steve Box, Nick Park","Peter Sallis, Ralph Fiennes, Helena Bonham Carter",3.67492,312004,38038,NA,NA,NA,NA,NA,NA,40
"Firm, The","Sydney Pollack","Tom Cruise, Gene Hackman, Hal Holbrook, Jeanne Tripplehorn",3.50373,106918,454,NA,NA,NA,NA,NA,NA,41
"Hangover Part II, The","Todd Phillips","Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha, Ken Jeong",2.99142,1411697,86911,NA,NA,NA,NA,NA,NA,3
"Oblivion","Joseph Kosinski","Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough, Melissa Leo, Nikolaj Coster-Waldau",3.61342,1483013,101864,"Action","Tom Cruise","Karl Gajdusek","Universal Pictures","United States",2013,4
"Panic Room","David Fincher","Jodie Foster, Forest Whitaker, Dwight Yoakam, Jared Leto, Kristen Stewart",3.23685,258000,5266,"Crime","Jodie Foster","David Koepp","Columbia Pictures","United States",2002,1
"Contagion","Steven Soderbergh","Gwyneth Paltrow, Matt Damon, Laurence Fishburne, John Hawkes, Jude Law, Monique Gabriela Curnen, Marion Cotillard, Kate Winslet, Jennifer Ehle, Elliott Gould, Enrico Colantoni, Bryan Cranston, Sanaa Lathan, John Hoogenakker",3.48306,1598778,89470,"Drama","Matt Damon","Scott Z. Burns","Warner Bros.","United Arab Emirates",2011,2
"Descent, The","Neil Marshall","Shauna Macdonald, MyAnna Buring, Natalie Jackson Mendoza, Molly Kayll, Alex Reid, Saskia Mulder, Nora-Jane Noone",3.51838,435625,40732,NA,NA,NA,NA,NA,NA,42
"Captain America: The Winter Soldier","Anthony Russo, Joe Russo","Chris Evans, Scarlett Johansson, Sebastian Stan, Anthony Mackie, Cobie Smulders, Frank Grillo, Emily VanCamp, Hayley Atwell, Robert Redford, Samuel L. Jackson, Toby Jones, Callan Mulvey, Jenny Agutter, Chin Han, Garry Shandling, Georges St-Pierre, Steven Culp, Gary Sinise, Dominic Cooper, Alan Dale, Thomas Kretschmann, Elizabeth Olsen",3.70321,1843866,110102,"Action","Chris Evans","Christopher Markus","Marvel Entertainment","United States",2014,4
"2 Fast 2 Furious","John Singleton","Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser, Ludacris",2.61651,322259,6383,"Action","Paul Walker","Gary Scott Thompson","Universal Pictures","United States",2003,4
"Master and Commander: The Far Side of the World","Peter Weir","Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall, David Threlfall, Chris Larkin",3.63926,311113,6947,NA,NA,NA,NA,NA,NA,43
"Talladega Nights: The Ballad of Ricky Bobby","Adam McKay","Gary Cole, Will Ferrell, Jane Lynch, Michael Clarke Duncan, John C. Reilly, Adam McKay, David Koechner, Pat Hingle, Greg Germann, Leslie Bibb, Dale Earnhardt Jr., Amy Adams, Dick Berggren, Molly Shannon, Sacha Baron Cohen, Andy Richter, Bob Jenkins, Elvis Costello, Mos Def, Bill Weber, Benny Parsons, Wally Dallenbach",3.24887,415306,46970,NA,NA,NA,NA,NA,NA,8
"Titanic","James Cameron","Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher",3.42146,120338,1721,"Drama","Leonardo DiCaprio","James Cameron","Twentieth Century Fox","United States",1997,2
"Scream 2","Wes Craven","Neve Campbell, David Arquette, Courteney Cox, Sarah Michelle Gellar, Jamie Kennedy, Laurie Metcalf, Liev Schreiber, Jada Pinkett Smith, Timothy Olyphant, Jerry O'Connell, Rebecca Gayheart",2.74953,120082,1717,"Horror","Neve Campbell","Kevin Williamson","Dimension Films","United States",1997,1
"Town, The","Ben Affleck","Ben Affleck, Rebecca Hall, Jeremy Renner, Jon Hamm, Blake Lively, Pete Postlethwaite, Chris Cooper",3.74125,840361,80489,NA,NA,NA,NA,NA,NA,44
"Bug's Life, A","John Lasseter","Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere, Phyllis Diller, Richard Kind, David Hyde Pierce, Denis Leary, Jonathan Harris, Madeline Kahn, Bonnie Hunt, John Ratzenberger, Brad Garrett, Roddy McDowall, Edie McClurg, Alex Rocco, Carlos Alazraqui, David L. Lander, Kimberly J. Brown, Christina Milian, Travis Tedford, Ashley Tisdale",3.56368,120623,2355,NA,NA,NA,NA,NA,NA,45
"Prometheus","Ridley Scott","Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba, Guy Pearce, Logan Marshall Green",3.36068,1446714,94864,"Adventure","Noomi Rapace","Jon Spaihts","Twentieth Century Fox","United States",2012,1
"Waking Ned Devine","Kirk Jones","Ian Bannen, David Kelly, Fionnula Flanagan, Susan Lynch, James Nesbitt",3.78166,166396,2359,"Comedy","Ian Bannen","Kirk Jones","Tomboy Films","United Kingdom",1998,3
"Deep Blue Sea","Renny Harlin","Thomas Jane, LL Cool J , Michael Rapaport, Saffron Burrows",2.69898,149261,2722,"Action","Thomas Jane","Duncan Kennedy","Warner Bros.","United States",1999,4
"Scream 3","Wes Craven","David Arquette, Neve Campbell, Courteney Cox, Parker Posey",2.43895,134084,3273,"Horror","David Arquette","Kevin Williamson","Dimension Films","United States",2000,1
"Flight","Robert Zemeckis","Nadine Velazquez, Denzel Washington, Tamara Tunie, Brian Geraghty, Bruce Greenwood, John Goodman, Don Cheadle",3.61931,1907668,97923,"Drama","Denzel Washington","John Gatins","Paramount Pictures","United States",2012,2
"Fargo","Joel Coen, Ethan Coen","William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare, Harve Presnell, Patrice Chéreau, Julien Temple",4.11384,116282,608,"Crime","William H. Macy","Ethan Coen","PolyGram Filmed Entertainment","United States",1996,1
